a shot in the arm,povzbuzení
a shot in the dark,střela od boku
a sick building,budova s vydýchaným vzduchem
a sight for sore eyes,milé shledání
a sitting duck,snadný cíl
a slim chance,malá šance
a slip of a girl,mladá dívka
a slip of the tongue,vyslovená chyba
a slippery slope,riskantní plán
a slow day,špatný den pro obchod
a slug,skupinka
a snootful,zavětření
a snow job,podvod
a snowball's chance in hell,mizivá šance na úspěch
a soft touch,osoba neumějící odmítnout
a speech,projev
a spot of tea,šálek čaje
a steal,sleva
a stitch in time saves nine,preventivní oprava
a stone's throw,krátká vzdálenost
a sucker for punishment,obětní beránek
a suicide pass (hockey),druh nahrávky v hokeji
a sure bet,jasný vítěz
a sure thing,samozřejmost
a sweet tooth,chuť na sladké
a takeoff on,založený na stejném nápadu
a talking to,vynadání
a tall one,silný alkohol
a tall story,báchorka
a tempest in a teapot,mnoho povyku pro nic
a thorn in my side,osoba dělající problémy
a thousand,tisíc
a three-bagger,šeredná osoba
a tiny bit,trošičku
a token gesture,malý náznak děkování
a tongue-lashing,vynadání
a total stranger,úplný cizinec
a touch,poněkud
a touch of,příznaky nějaké nemoci
a tough act to follow,těžko napodobitelný výkon
a tough call,těžké rozhodnutí
a tough time of it,těžká doba
a tower of strength,přítel do deště
a wake-up call,varování
a warning,varování
a wash,být si kvit
a wash-out,selhání
a way with words,schopnost povídat
a whale of a game,napínavá hra
a while back,před nějakou dobou
a wild goose chase,plýtvání časem
a window of opportunity,příležitost
a wolf in sheep's clothing,nevinně vypadající nepřítel
a word to the wise is sufficient,porozumění klíčovému slovu
a wordsmith,spisovatel
a yawner,nudná událost
a-1,nejvyšší kvality
a-bomb,atomová bomba
a-ok,lepší než průměr
a-okay,lepší než průměr
a.d.,našeho letopočtu
a.i.d.s,AIDS
a.k.a.,alias
a.m.,ráno
a/c,klimatizace
a/p,autopilot
a/r,účty odběratelů
a/s,Age/Sex?
a/s/l,Age/Sex/Location (or Language)?
a1,nejvyšší kvality
aaa,Travel club
aaaaa,Travel club for alcoholics
aaas,American Association for the Advancement of Science
aachoo,hepčík
aam,Air to Air Missile
aamof,As A Matter Of Fact
aardvark,hrabáč
aardwolf,druh hyeny
aavp,Advanced Aircrew Vision Protection
ab initio,neempirický
ab ovo,od začátku
abaca,manilské konopí
abaci,počítadla
abacinate,vypálit oči
aback,překvapen
abacus,počitadlo
abacuses,počitadla
abaddon,anděl ničitel
abaft,dozadu
abalone,ušeň
abampere,absolutní ampér
abandon,abandonovat
abandon to,zcela se oddat
abandoned,nemravný
abandoned infant,opuštěné dítě
abandoned person,opuštěná osoba
abandoned ship,opuštěná loď
abandoning,opouštějící
abandonment,opuštěná budova
abandons,opouští
abase,degradovat
abase oneself,zdiskreditovat se
abased,degradován
abasement,pokoření
abash,zakřiknout
abashed,zastrašen
abashing,zastrašování
abashment,rozpaky
abasia,abázie
abasic,abazický
abate,učinit přítrž čemu
abated,snížil
abatement,"náklady, snižování"
abatement of a nuisance,potírání zlořádů
abatements,povolení
abating,polevující
abatis,záseky
abattoir,jatky
abaxial,nesouosý
abbacy,opatství
abbatial,opatský
abbe,abbé
abbess,abatyše
abbey,budova opatství
abbeys,budovy opatství
abbot,opat
abbots,opati
abbott,Abbott
abbreviate,zestručnit
abbreviated,zkrácený
abbreviating,zkracující
abbreviation,zkratka
abbreviations,zkratky
abby,Abby
abc,abeceda
abc's,abeceda
abcoulomb,coulomb
abd,All But Dissertation
abdicate,abdikovat
abdicated,vzdal se funkce
abdication,odstoupení z funkce
abdomen,břicho
abdomens,břicha
abdominal,abdominální
abdominal aorta,břišní aorta
abdominal cavity,břišní dutina
abdominal delivery,porod císařským řezem
abdominal muscle,břišní svaly
abdominal wall,břišní stěna
abdominous,břichatý
abdr,Aircraft Battle Damage Repair
abduct,unést
abducted,unesen
abduction,únos
abductions,upažení
abductor,únosce
abductors,únosci
abducts,odtahovat
abeam,ze strany
abecedarian,abecední
abed,v posteli
abel,Ábel
abele,topol bílý
abelian,týkající se Ábela
abelian group,abelovská grupa
abelmosk,ibišek
abelson,Abelson
abend,abnormální ukončení
aberdeen,Aberdeen
abernathy,Abernathy
aberrance,vyšinutí
aberrancy,poblouznění
aberrant,aberující
aberration,aberace
abet,navádět
abetment,podněcování
abetted,napomáhal
abetter,spoluviník
abetting,navádějící
abettor,podněcovatel
abeyance,nerozhodnutý stav
abfarad,absolutní farad
abhenry,absolutní henry
abhor,děsit se
abhorred,ošklivil si
abhorrence,averze
abhorrent,odporný
abidance,setrvávání
abide,vyčkat
abide by,zůstat věrný
abided,strpěl
abiding,nepomíjející
abidjan,hl.m. - Pobřeží Slonoviny
abient,negativní
abigail,ženské křestní jméno
abilene,město - Spojené státy americké
abilities,schopnosti
ability,vlohy
ability to,schopen (něčeho)
ability to damage plant,schopnost poškodit rostlinu
ability to pay,platební schopnost
ability to search host,schopnost vyhledat hostitele
abiogenesis,prvoplození
abiogenetic,abiogenetický
abiogenic landscape,abiogenní krajina
abioseston,abioseston
abiotic environmental component,abiotická složka prostředí
abiotic factor,abiotický faktor
abiotrophy,abiotrofie
abject,bídný
abject conditions,bídné podmínky
abject despair,nejhlubší zoufalství
abject imitation,otrocká napodobenina
abject misery,nejhorší bída
abjection,degradace
abjectly,bídně
abjectness,zavrženíhodnost
abjuration,odvolání
abjure,odpřisáhnout
abjured,odvolal
abkhazia,Abcházie
abkhazian,abcházština
abl,Airborne Laser
ablate,odejmout
ablated,odříznutý
ablating,odnímání
ablation,snesení
ablative,ablativ
ablative absolute,ablativ absolutní
ablaut,ablaut
ablaze,hořící
able,dovedný
able ace,Airborne Laser Extended Atmospheric Characterization Experiment
able seaman,námořník první třídy
able to compete,konkurenceschopný
able to pay,solventní
able to work,práceschopný
able-bodied,tělesně schopný
ablepharia,ablefarie
abler,schopnější
ablest,nejschopnější
ablex,Airborne Laser Experiment
ablong,podlouhlý
abloom,kvést
ablution,mytí se
ably,dovedně
abm,protibalistická raketa
abnegate,vzdát se
abnegate a right,vzdát se práva
abnegation,zřeknutí se
abner,Abner
abnormal,abnormální
abnormal psychology,psychopatologie
abnormalities,odchylky
abnormality,nenormálnost
abnormally,abnormálně
abnormity,abnormalita
abo,Abo
aboard,ve vlaku
abode,bydliště
abohm,absolutní ohm
abolish,anulovat
abolish measures,odstranit opatření
abolish slavery,zrušit otroctví
abolished,zrušený
abolishing,rušení
abolishment,zrušení
abolition,zrušení
abolitionist,abolicionista
abominable,hnusný
abominably,odporně
abominate,hnusit
abomination,hnus
aboriginal,domorodý
aborigine,původní Australan
aborigines,domorodci
aborning,při zrození
abort,nezdařit se
aborted,zrušený
aborticide,zabití plodu
aborting,rušení
abortion,interupční
abortionist,doktor provádějící potrat
abortions,potraty
abortive,nezdařený
abortive attempt,nezdařený pokus
abortive birth,předčasný porod
aborts,ruší
abortus,potrat
abos,australští domorodci
abound,oplývat
about,u sebe
about face,čelem vzad
about him,o něm
about time,načase
about us,o nás
above,shora uvedený
above all,především
above and beyond the call of duty,více než je očekáváno
above board,čestný
above me,na mě moc
above one's means,nad poměry
above par,nad průměrem
above standard,nadprůměrný
above the law,nepodléhající zákonům
above understanding,mimo chápání
above-board,bezelstně
above-mentioned,dříve zmíněný
aboveboard,otevřený
aboveground,nadzemní
aboveground nuclear testing,nadzemní nukleární testování
abovementioned,dříve zmíněný
abr,Aero-Ballistic Rocket
abracadabra,čárymáry
abrade,opotřebit
abraded,opotřebený
abrading,brusný
abraham,Abraham
abram,Abram
abrams,Abrams
abramson,Abramson
abrasion,abraze
abrasion belt,brusný pás
abrasion dust,brusný prach
abrasion polishing,leštění broušením
abrasion resistance,pevnost v oděru
abrasion test,zkouška na otěr
abrasions,oděrky
abrasive,brusivo
abrasive band,brusný pás
abrasive belt,brusný pás
abrasive cloth,brusné plátno
abrasive disk,brusný kotouč
abrasive grain,brusné zrno
abrasive mark,stopa po brusivu
abrasive material,brusný materiál
abrasive paper,papír brusný
abrasive powder,brusný prášek
abrasive quality,brusivost
abrasive segment,brusný segment
abrasively,brusně
abrasiveness,obrusnost
abreact,odreagovat
abreaction,odreagování
abreast,držet krok (s)
abridge,zbavit
abridge a sb. of rights,zbavit práv
abridge a sb. of st.,zbavit
abridged,zestručněný
abridged division,zkrácené dělení
abridged multiplication,zkrácené násobení
abridgement,zkrácené vydání
abridgment,snížení
abroad,za hranicemi
abrogate,anulovat
abrogated,odstranil
abrogation,anulování
abrupt,neočekávaný
abrupt interval,neočekávaná přestávka
abrupt peak,strmý štít
abrupt style,nesouvislý styl
abrupt tern,prudká zatáčka
abruption,odlomení
abruptly,náhle
abruptness,neočekávanost
abs,břišní svaly
absaroka,absarožský
abscess,absces
abscissa,abscisa
abscissae,úsečka
abscission,oddělení
abscond,uniknout
absconder,uprchlík před spravedlností
abseil,slanit
abseiler,slaňující osoba
absence,nepřítomnost
absence makes the heart grow fonder,střídmost dělá srdce něžnější
absences,nedostatky
absent,chybějící
absent-minded,duchem nepřítomný
absent-mindedly,nepozorně
absent-mindedness,nepřítomnost duchem
absented,chybějící
absentee,absentér
absenteeism,absentérství
absently,nepřítomně
absentminded,roztržitý
absentmindedly,nepozorně
absentmindedness,roztržitost
absinth,absint
absinthe,absint
absolute,absolutistický
absolute advantage,absolutní výhoda
absolute agreement,naprostá shoda
absolute alcohol,čistý alkohol
absolute biochemical oxidation,úplná biochemická oxidace
absolute colorimetric intent,absolutní kolorimetrický záměr
absolute command,důrazný rozkaz
absolute denial,úplné popření
absolute error,absolutní chyba
absolute fool,úplný hlupák
absolute freedom,naprostá svoboda
absolute humidity,absolutní vlhkost vzduchu
absolute lethal dose (ld100),absolutní (smrtelná) letální dávka (LD100)
absolute loss,naprostá ztráta
absolute magnitude,absolutní magnituda
absolute monarchy,absolutistická monarchie
absolute monopoly,absolutní monopol
absolute physical scarcity,absolutní věcná vzácnost
absolute pitch,absolutní výška
absolute power,absolutní síla
absolute promise,bezpodmínečný slib
absolute proof,pozitivní důkaz
absolute ruler,absolutní vládce
absolute trust,naprostá důvěra
absolute value,absolutní hodnota
absolute zero,absolutní nula
absolutely,dočista
absoluteness,absolutnost
absolutes,absolutní pravdy
absolution,rozhřešení
absolutism,absolutizmus
absolutist,absolutistický
absolutist views,absolutistická stanoviska
absolve,osvobodit
absolve from,zprostit čeho
absolve of,osvobodit z
absolved,osvobozen
absolving,osvobozování
absorb,vstřebávat
absorbable,absorbovatelný
absorbate,absorbát
absorbed,zabrán do
absorbed dose,absorbovaná dávka (ioniz. záření)
absorbed substance,absorbát
absorbency,absorpčnost
absorbent,absorbent
absorber,pohlcovač
absorbing,absorbující
absorbing power,nasákavost
absorbs,absorbuje
absorbtive capacity of pollutants,absorpční kapacita polutantů
absorptance,pohltivost
absorption,vstřebávání
absorption coefficient,koeficient absorpce
absorptive,uchvátivý
absorptive drain,pohlcovací drén
absorptive well,hltač
absorptivity,savost
abstain,zdržovat se
abstained,nehlasoval
abstainer,abstinent
abstaining,abstinující
abstemious,střídmý
abstemiously,střídmě
abstemiousness,střídmost
abstention,zdržení se
abstentions,abstinence
abstinence,abstinence
abstinent,abstinent
abstract,odtažitý
abstract expressionism,abstraktní expresionismus
abstract factory,abstraktní továrna
abstract noun,abstraktní podstatné jméno
abstract system,abstraktní systém
abstracted,nepozorný
abstractedly,roztržitě
abstractedly from,nezávisle na
abstractedness,roztržitost
abstraction,abstrakce
abstractions,abstrakce
abstractive,abstrakční
abstractive use,abstraktivní využití (vody)
abstractly,abstraktně
abstractor,dokumentátor
abstracts,abstrakce
abstruse,nejasný
abstrusely,nesrozumitelně
absurd,absurdní
absurdest,nejabsurdnější
absurdist,absurdistický
absurdities,absurdnosti
absurdity,absurdnost
absurdly,absurdně
abu dhabi,Abú Zabí
abuja,Abudža
abulia,abulie
abundance,abundance
abundance of st.,nadbytek
abundant,bohatý
abundant in st,oplývající čím
abundant in st.,oplývající
abundantly,hojně
abuse,nadávky
abuse of st.,zneužití
abused,zneužit
abuser,zneuživatel
abusers,zneuživatelé
abuses,zneužívá
abusing,zneužívající
abusive,hanlivý
abusively,sprostě
abusiveness,zneužívanost
abut,dosedat
abut against,přiléhat k
abut on,hraničit s
abutment,tupý spoj
abutment arch,krajní oblouk
abutment pier,krajní podpora
abutter,soused
abutting,sousední
abuzz,bzučící
abvolt,abvolt
abysm,propast
abysmal,propastný
abysmal misery,obrovská bída
abysmal stupidity,obrovská blbost
abysmally,hrozně
abyss,bezedná propast
abyssal,abysální
abyssinia,Habeš
abyssinian,habešský
abyssinians,Habešané
ac,střídavý proud
ac adapter,AC adaptér
ac/dc,střídavý/stejnosměrný proud
acacia,klovatina
academe,akademický
academia,akademie
academian,akademik
academic,akademický
academic degree,akademický titul
academic freedom,akademická svoboda
academic year,akademický rok
academical,akademický
academically,akademicky
academician,akademik
academics,profesoři
academies,akademie
academism,akademismus
academy,akademie
acanthus,akant
acapulco,Acapulco
acariasis,akarióza
acaricide,akaricid
acarid,roztoč
acariphage,akarofág
acarpous,sterilní
acatalectic,akatalektický
acaudal,bezocasý
acaudate,bezocasý
acaustobiolith,akaustobiolit
acc,Air Combat Command
accede,nastoupit
accede to,přistoupit na
accede to an office,nastoupit do úřadu
accede to the throne,nastoupit na trůn
accede with st.,souhlasit s
acceded,přistoupil
accelerate,zrychlovat
accelerated,urychlen
accelerated erosion,zrychlená eroze
accelerates,akceleruje
accelerating,urychlující
acceleration,akcelerace
accelerations,urychlení
accelerative,zrychlovací
accelerator,zrychlovač
accelerator pedal,pedál plynu
accelerators,akcelerátory
accelerometer,akcelerometr
accent,způsob výslovnosti
accented,nářeční
accents,přízvuky
accentual,přízvučný
accentuate,přízvukovat
accentuated,vyzdvižený
accentuation,vyzdvižení
accept,akceptovat
acceptability,přijatelnost
acceptability principle,princip přijatelnosti
acceptable,přijatelný
acceptable daily intake,přípustný denní příjem
acceptable daily intake (adi) of harmful substance,přijatelný denní přísun škodlivé látky (ADI)
acceptableness,přijatelnost
acceptably,přijatelně
acceptance,přejímka
acceptance credit,akceptační úvěr
acceptance of membership,přijetí členství
acceptance of st.,souhlas s
accepted,přijato
accepter,příjemce
accepters,příjemci
accepting,přijímání
acceptor,příjemce
acceptors,příjemci
accepts,přijímá
access,přístup
access chamber,revizní šachta
access code,přístupový kód
access time,čas přístupu
accessary,spolupachatel
accessed,zpřístupněno
accesses,přístupy
accessibility,dosažitelnost
accessible,dosažitelný
accessibly,přístupně
accessing,přistupování
accession,přistoupení
accession to,vstoupení do
accessories,doplňky
accessors,přístupové mechanizmy
accessory,spoluvinný
accidence,tvarosloví
accident,úrazový
accident insurance,havarijní pojištění
accident-prone,smolařský
accidental,nahodilý
accidental colors,vedlejší barvy
accidental death,smrtelný úraz
accidental injury,zranění při úrazu
accidental water quality deterioration,havarijní zhoršení jakosti vody
accidentally,nahodile
accidents,nehody
accintnet,ACC Intelligence Network
accipiter,jestřáb
acclaim,provolávat
acclaim the winner,pozdravovat jako vítěze
acclaimed,vychvalovaný
acclaiming,provolávání
acclamation,aklamace
acclimate,aklimatizovat
acclimated,aklimatizován
acclimating,aklimatizování
acclimation,adaptace
acclimatisation,aklimatizace
acclimatise,aklimatizovat
acclimatised,aklimatizoval
acclimatization,aklimatizace
acclimatize,aklimatizovat
acclimatized,aklimatizoval
acclivity,sráz
accolade,vyznamenání
accommodate,vypomoci
accommodate differences,urovnat spory
accommodate to,přizpůsobit
accommodated,ubytoval
accommodates,umístí
accommodating,vypomáhání
accommodation,nocleh
accommodative,akomodační
accomodation,ubytování
accomodation to,přizpůsobení se
accompanied,provázený
accompanies,doprovází
accompaniment,doprovod
accompanist,doprovázející osoba
accompany,doprovodit
accompanying,doprovázející
accompanying raw material,doprovodná surovina
accompanyist,doprovázeč
accomplice,spolupachatel
accomplish,uskutečňovat
accomplishable,proveditelný
accomplished,všestranně vzdělaný
accomplishment,uskutečnění
accomplishments,úspěchy
accord,dohoda
accord equal rights,zrovnoprávnit
accord in,v souhlasu s
accord of one's own,dobrovolně
accordance,ve shodě
accordant,shodný
accorded,vyhovoval
according,dle
according to,podle
accordingly,v souladu s tím
accordion,akordeon
accordionist,harmonikář
accordions,harmoniky
accords,akordy
accost,obtěžovat
accosting,souhlasení
accoucheuse,porodní sestra
account,vyúčtovat
account for,zodpovídat se
account for sth,činit
account information,informace o účtu
accountability,odpovědnost
accountable,odpovědný
accountable for,odpovědný
accountable to,odpovědný
accountable to sb. for st.,odpovědný
accountably,vysvětlitelně
accountancy,účetnictví
accountant,účetní
accountants,účetní
accounted,považován za
accounted for interest expense,vyúčtované nákladové úroky s výjimkou kapitalizovaných a vyúčtované výnosové úroky
accounting,vykazování
accounting cost,účetní náklady
accounting department,účtárna
accounting entity,účetní jednotka
accounting identity,účetní identita
accounting period,účetní období
accounting price,účetní cena
accounting profit,účetní zisk
accounting profit/loss from operating activities before taxation,účetní zisk nebo ztráta z běžné činnosti před zdaněním
accounting system,účetní systém
accounts,účty
accounts payable,účty věřitelů
accounts receivable,účty dlužníků
accoutre,vystrojit
accoutred,vystrojený
accoutrement,náčiní
accra,hl.m. - Ghana
accredit,akreditovat
accredit to,připisovat
accreditation,akreditace
accredited,akreditován
accrete,srůst
accreted,přirostlý
accretion,přirůstání
accretive,narůstající
accrual,nárůst
accruals,nárůsty
accrue,přirůstat
accrue from,vzejít z
accrued,narostlý
accrued expenses,výdaje příštích období
accrued items,dohadné položky
accrued revenue,příjmy příštích období
accrues,narůstání
accruing,časové rozlišení
acculturate,asimilovat
acculturated,asimilovaný
acculturation,převzetí kultury
accumulate,akumulovat
accumulated,akumulovaný
accumulated depreciation,oprávky
accumulated losses from previous years,neuhrazená ztráta minulých let
accumulated water energy,akumulovaná vodní energie
accumulates,akumuluje
accumulating,akumulující
accumulation,nakupení
accumulation area,akumulační oblast
accumulation coefficient,kumulační koeficient (toxické látky)
accumulation of toxic substances,kumulace toxických látek
accumulation pond,akumulační rybník
accumulative,akumulační
accumulator,akumulátor
accuracy,preciznost
accurate,precizní
accurately,přesně
accursed,zlořečený
accurst,mizerný
accusal,obvinění
accusation,nařčení
accusations,obvinění
accusative,akuzativní
accusatorial,obžalovací
accusatory,obviňující
accuse,osočit
accuse of,obvinit z něčeho
accused,obviněný
accuser,udavač
accuses,obviňuje
accusing,vyčítavý
accusingly,vyčítavě
accusive,obviňující
accustom,zvyknout
accustomed,zvyklý na
ace,eso
ace in the hole,skrytý trumf
ace rimmer,Eso Rimmer
acellular,bezbuněčný
acentric,excentrický
acerate,jehlicovitý
acerb,ostrý
acerbic,kyselý
acerbity,jízlivost
aces,esa
acetabulum,kloubní jamka
acetal,acetal
acetaldehyde,acetaldehyd
acetanilid,acetanilid
acetate,acetát
acetic,octový
acetic acid,kyselina octová
acetify,zoctovatět
acetone,aceton
acetonemia,acetonémie
acetonic,acetonový
acetonuria,acetonurie
acetose,kyselý
acetr,Air core enhanced Turbo Rocket
acetyl,acetyl
acetylcholine,acetylcholin
acetylene,acetylén
acetylene tetrachloride,acetylentetrachlorid
acetylenic,nenasycený
acetylsalicylic acid,kyselina acetylsalicylová
achaean,obyvatel starého Řecka
achaeans,obyvatelé starého Řecka
ache,pociťovat bolest
ached,bolel
achene,nažka
aches,bolesti
achievable,dosažitelný
achieve,docílit
achieve st.,dosáhnout
achieved,dokázaný
achievement,významný čin
achievements,činy
achiever,úspěšný člověk
achieves,dokazuje
achieving,dokázání
achilles,Achilles
